SEQUENCE ID;PFAM;GBA_AA;GBA_AB;GBA_AC;GBA_AD;GBA_AE;GBA_AF;GBA_AG;GBA_AH;GBA_AI
gba_locus_10016_iso_1_len_6243_ver_2;PF00400.25;1,90;2,16;2,67;1,78;2,72;2,62;2,63;2,43;2,41
gba_locus_10017_iso_3_len_539_ver_2;not hit found;7,28;7,57;8,81;7,17;8,41;6,39;7,43;6,21;8,14
gba_locus_10018_iso_1_len_2998_ver_2;PF00916.13;3,62;4,06;3,36;2,56;4,07;2,98;2,28;1,37;1,60
gba_locus_10019_iso_1_len_502_ver_2;not hit found;4,80;2,81;3,42;0,61;1,79;8,41;8,91;2,65;1,68
gba_locus_1001_iso_6_len_1823_ver_2;PF00071.15;6,73;6,39;6,68;6,10;6,31;5,62;5,66;5,92;5,53
gba_locus_10020_iso_1_len_2246_ver_2;PF00168.23;4,80;5,26;5,80;4,70;5,95;4,10;4,12;5,62;2,61
gba_locus_10021_iso_1_len_1078_ver_2;not hit found;3,84;3,20;3,86;2,95;3,12;1,86;2,10;3,05;4,16
gba_locus_10022_iso_1_len_2699_ver_2;PF03169.8;4,43;2,52;1,82;0,65;2,29;5,59;5,35;4,76;4,85
gba_locus_10023_iso_1_len_1620_ver_2;PF04893.10;5,18;4,21;5,09;4,36;4,21;4,08;4,49;4,03;3,94
gba_locus_10024_iso_3_len_1262_ver_2;PF10159.2;3,56;3,53;4,18;3,41;3,34;3,91;4,02;3,17;4,58
gba_locus_10025_iso_3_len_4222_ver_2;PF02037.20;3,34;4,18;3,57;3,46;3,60;3,75;3,48;3,72;4,62
gba_locus_10026_iso_1_len_1899_ver_2;PF08799.4;3,86;4,12;4,53;3,42;3,73;4,05;4,25;4,25;3,89
gba_locus_10027_iso_1_len_2446_ver_2;PF00249.24;3,74;5,36;4,45;3,54;4,55;4,28;4,33;4,26;3,94
gba_locus_10028_iso_3_len_1609_ver_2;not hit found;3,82;3,68;3,61;3,34;2,93;4,09;3,87;3,70;4,69
gba_locus_10029_iso_1_len_1253_ver_2;not hit found;0,83;0,00;-0,41;0,00;-0,03;3,80;4,28;-0,28;-0,70
gba_locus_1002_iso_3_len_4281_ver_2;PF00009.20;4,45;3,72;4,45;3,71;5,23;4,08;4,27;4,92;3,82
gba_locus_10030_iso_1_len_1618_ver_2;PF00249.24;0,20;3,86;1,55;3,22;2,64;3,63;4,04;1,87;0,38
gba_locus_10031_iso_1_len_2331_ver_2;PF08238.5;3,47;3,90;3,94;3,67;3,92;2,85;2,02;3,56;1,77
gba_locus_10032_iso_1_len_2314_ver_2;PF07690.9;5,09;3,54;3,52;3,78;3,28;4,57;4,75;3,93;4,63
gba_locus_10034_iso_3_len_1049_ver_2;PF00827.10;7,14;6,09;6,48;6,06;6,39;6,04;6,25;6,52;5,43
gba_locus_10035_iso_5_len_2719_ver_2;PF01535.13;1,17;1,79;2,07;0,71;2,08;2,95;3,35;2,58;2,09
gba_locus_10036_iso_4_len_1989_ver_2;PF00265.11;4,01;4,33;3,93;3,20;3,68;3,59;4,33;4,33;3,88
gba_locus_10037_iso_3_len_7037_ver_2;PF12348.1;3,55;3,29;3,46;2,55;3,02;3,11;2,92;3,64;5,50
gba_locus_10038_iso_4_len_3050_ver_2;PF01661.14;3,93;4,30;4,10;3,69;4,10;3,26;3,41;3,97;4,92
gba_locus_10039_iso_1_len_443_ver_2;PF01535.13;0,79;1,32;1,52;0,37;1,17;2,46;2,32;2,63;2,29
gba_locus_10040_iso_1_len_1727_ver_2;PF00106.18;1,96;4,93;4,50;3,01;4,67;1,84;1,64;3,85;0,85
gba_locus_10041_iso_1_len_2799_ver_2;PF00385.17;3,65;4,05;4,27;3,34;4,40;4,26;4,86;3,86;3,95
gba_locus_10042_iso_2_len_823_ver_2;PF10157.2;4,04;4,23;3,96;3,66;3,89;4,09;4,10;3,07;4,08
gba_locus_10043_iso_1_len_2647_ver_2;PF03360.9;4,09;2,09;5,05;2,24;3,36;3,99;4,35;4,22;2,41
gba_locus_10044_iso_1_len_921_ver_2;PF09138.4;5,64;5,48;5,81;4,98;4,97;4,69;4,99;4,57;7,10
gba_locus_10045_iso_1_len_1221_ver_2;not hit found;4,80;5,73;5,29;3,61;5,40;3,14;3,99;5,42;4,63
gba_locus_10046_iso_1_len_3733_ver_2;PF00225.16;1,93;1,59;1,87;0,93;2,02;-0,94;-0,13;1,94;0,43
gba_locus_10047_iso_1_len_2952_ver_2;PF02676.7;1,50;2,22;2,17;1,26;1,97;1,62;2,00;1,77;2,98
gba_locus_10048_iso_1_len_858_ver_2;PF08293.4;4,97;4,70;4,99;4,55;4,53;4,09;4,25;4,16;5,26
gba_locus_10049_iso_2_len_1916_ver_2;PF03005.8;4,75;4,55;5,60;4,76;4,74;3,47;4,12;4,32;3,47
gba_locus_1004_iso_5_len_5440_ver_2;PF01565.16;3,93;3,52;3,70;2,15;3,43;4,97;4,98;3,07;5,09
gba_locus_10050_iso_1_len_1885_ver_2;PF00320.20;3,74;4,25;3,55;0,68;2,62;5,06;4,51;4,08;5,35
gba_locus_10051_iso_1_len_2245_ver_2;PF04116.6;4,46;0,00;-0,97;0,00;-0,89;2,14;3,23;4,36;-0,76
gba_locus_10052_iso_2_len_1984_ver_2;PF08569.4;3,59;3,24;3,67;2,67;3,03;3,12;3,08;3,25;2,14
gba_locus_10053_iso_1_len_777_ver_2;not hit found;2,19;2,98;2,98;1,77;2,30;1,07;1,67;0,00;0,00
gba_locus_10054_iso_4_len_1617_ver_2;PF00153.20;5,82;5,70;5,51;6,35;5,71;5,02;4,98;5,10;6,41
gba_locus_10055_iso_1_len_1448_ver_2;PF00076.15;3,31;1,32;2,36;1,27;0,80;4,91;5,40;1,87;0,20
gba_locus_10056_iso_1_len_558_ver_2;not hit found;1,05;0,00;0,00;0,00;0,00;2,98;2,72;0,00;0,00
gba_locus_10057_iso_6_len_1985_ver_2;PF01380.15;4,95;3,77;4,25;4,31;3,62;3,50;3,60;5,01;4,69
gba_locus_10058_iso_1_len_1285_ver_2;not hit found;2,70;4,59;3,96;3,41;4,61;3,61;3,65;3,29;0,00
gba_locus_10059_iso_5_len_5214_ver_2;PF04564.8;3,97;4,16;4,14;5,46;4,54;2,11;1,70;3,44;2,44
gba_locus_1005_iso_5_len_1388_ver_2;PF00160.14;7,19;6,80;7,48;6,60;7,05;5,59;5,87;6,39;6,00
gba_locus_10060_iso_1_len_4135_ver_2;PF04675.7;2,10;3,51;2,47;2,63;2,07;1,71;0,91;2,91;6,05
gba_locus_10061_iso_1_len_722_ver_2;not hit found;6,29;2,45;3,11;8,23;4,18;2,65;0,00;5,01;4,12
gba_locus_10062_iso_1_len_1636_ver_2;PF00036.25;3,48;4,65;3,97;4,11;4,39;3,73;2,64;2,89;3,16
gba_locus_10063_iso_5_len_1680_ver_2;PF06325.6;6,18;6,36;6,26;5,80;6,18;5,35;5,58;5,91;6,90
gba_locus_10064_iso_2_len_3070_ver_2;PF08142.5;4,08;4,75;4,29;4,02;4,28;4,08;3,89;4,40;5,54
gba_locus_10065_iso_2_len_1215_ver_2;not hit found;5,23;6,05;6,10;5,38;5,82;5,38;5,37;5,37;4,98
gba_locus_10066_iso_2_len_3192_ver_2;not hit found;3,29;3,98;3,82;3,20;3,90;4,39;4,46;3,70;3,30
gba_locus_10067_iso_1_len_1622_ver_2;PF06364.5;5,05;4,69;5,10;4,50;4,67;3,66;3,43;4,59;4,85
gba_locus_10068_iso_1_len_2289_ver_2;PF07800.5;4,10;4,37;4,38;3,70;4,23;4,46;4,28;4,33;4,34
gba_locus_10069_iso_2_len_1253_ver_2;not hit found;4,84;4,54;4,62;3,65;4,30;4,02;4,11;4,05;4,03
gba_locus_1006_iso_8_len_3811_ver_2;PF01480.10;4,96;5,59;5,23;4,59;4,91;5,39;5,01;4,85;6,04
gba_locus_10071_iso_4_len_1129_ver_2;PF08241.5;3,18;3,25;3,20;2,33;2,64;2,81;2,73;2,65;3,81
gba_locus_10073_iso_1_len_2133_ver_2;not hit found;4,35;3,49;3,26;2,57;2,40;4,90;5,05;3,88;3,24
gba_locus_10074_iso_5_len_1499_ver_2;PF01486.10;-1,20;4,60;4,25;2,98;0,00;3,84;3,47;0,19;-0,39
gba_locus_10075_iso_1_len_1794_ver_2;PF00400.25;3,58;3,92;3,70;3,75;3,31;2,75;2,76;3,57;3,78
gba_locus_10076_iso_3_len_2183_ver_2;PF00155.14;5,54;5,13;5,26;4,92;5,33;5,37;5,92;5,78;4,13
gba_locus_10077_iso_4_len_3007_ver_2;PF06741.6;4,02;4,59;4,29;3,70;4,15;2,87;3,13;4,56;5,51
gba_locus_10078_iso_1_len_1294_ver_2;PF01105.17;5,51;5,27;5,57;5,12;5,23;5,11;5,23;5,10;4,31
gba_locus_10079_iso_4_len_1237_ver_2;PF03641.7;2,91;2,16;2,37;-0,45;0,52;3,71;2,48;-0,39;0,00
gba_locus_1007_iso_1_len_277_ver_2;not hit found;8,59;5,38;6,15;2,44;3,95;9,79;9,12;5,50;2,28
gba_locus_10080_iso_1_len_885_ver_2;not hit found;3,21;3,05;3,03;2,28;3,52;3,86;3,48;2,63;3,00
gba_locus_10081_iso_9_len_3709_ver_2;PF00520.24;5,21;4,14;4,31;6,69;4,75;3,68;3,83;4,63;3,59
gba_locus_10082_iso_1_len_3713_ver_2;PF00690.19;3,13;3,04;2,89;2,97;2,94;2,36;1,96;3,72;3,50
gba_locus_10083_iso_2_len_2781_ver_2;PF04515.5;3,57;1,69;2,69;2,51;3,02;2,59;3,45;3,08;2,52
gba_locus_10084_iso_1_len_2236_ver_2;PF04504.7;3,92;4,52;4,07;4,31;4,17;3,97;4,09;4,66;5,20
gba_locus_10085_iso_5_len_982_ver_2;PF04418.5;5,82;5,48;5,92;5,40;5,75;4,96;5,29;5,48;6,99
gba_locus_10087_iso_4_len_1886_ver_2;PF04056.7;5,32;5,65;5,75;4,74;5,23;5,36;5,49;5,61;5,38
gba_locus_10088_iso_4_len_2876_ver_2;PF05383.10;4,13;4,72;4,12;3,94;4,11;4,25;4,26;4,74;5,17
gba_locus_10089_iso_1_len_1881_ver_2;not hit found;3,54;3,36;3,54;2,91;3,00;2,47;2,44;3,64;2,95
gba_locus_1008_iso_8_len_2193_ver_2;PF00481.14;5,89;6,02;5,31;5,14;5,55;5,42;5,42;6,19;6,09
gba_locus_10090_iso_1_len_1754_ver_2;not hit found;2,04;2,85;2,50;1,97;2,11;1,99;1,57;2,11;3,66
gba_locus_10091_iso_1_len_3502_ver_2;PF00089.19;4,21;4,14;3,92;3,42;3,98;4,48;4,52;4,62;3,51
gba_locus_10092_iso_1_len_970_ver_2;not hit found;3,40;0,76;0,84;4,89;4,71;3,75;0,00;1,57;0,95
gba_locus_10093_iso_1_len_687_ver_2;PF01535.13;0,57;1,38;1,28;0,21;1,40;1,36;1,82;1,23;1,18
gba_locus_10095_iso_2_len_1552_ver_2;PF01535.13;2,33;1,90;2,09;1,70;2,13;3,62;3,83;2,84;2,65
gba_locus_10096_iso_1_len_488_ver_2;not hit found;0,49;0,00;0,00;0,00;1,04;3,95;3,49;0,00;0,00
gba_locus_10097_iso_1_len_2153_ver_2;PF00160.14;2,68;0,68;1,13;-1,18;-0,11;4,52;3,75;0,27;0,08
gba_locus_10098_iso_1_len_2698_ver_2;PF01148.13;4,27;3,89;3,91;3,33;3,80;5,35;5,18;3,99;2,49
gba_locus_10099_iso_1_len_2011_ver_2;not hit found;3,49;2,61;3,61;2,66;2,75;2,49;2,96;3,54;2,54
gba_locus_1009_iso_5_len_3039_ver_2;PF11265.1;5,15;5,24;4,84;5,08;5,11;5,31;5,20;5,60;7,03
gba_locus_100_iso_3_len_3062_ver_2;PF01535.13;3,27;2,81;2,85;1,01;2,16;5,90;5,71;2,93;2,04
gba_locus_10100_iso_2_len_3639_ver_2;PF00443.22;3,14;4,09;3,71;3,02;3,51;3,06;3,20;3,23;3,80
gba_locus_10101_iso_1_len_1014_ver_2;PF00319.11;0,14;5,42;6,07;5,39;4,95;6,51;6,38;2,20;1,23
gba_locus_10102_iso_2_len_1729_ver_2;PF00076.15;4,01;5,39;4,99;3,73;3,86;4,04;4,09;2,81;2,52
gba_locus_10103_iso_2_len_488_ver_2;not hit found;6,12;8,78;7,92;8,42;7,05;4,29;3,57;5,16;7,47
gba_locus_10104_iso_1_len_2418_ver_2;PF00514.16;3,63;5,78;5,04;3,02;4,85;2,95;2,11;4,41;3,44
gba_locus_10105_iso_1_len_3179_ver_2;PF04564.8;5,08;4,83;4,50;7,60;6,62;3,10;1,48;4,27;5,06
gba_locus_10106_iso_1_len_391_ver_2;PF00403.19;3,52;3,15;3,70;2,16;1,93;4,98;4,46;1,78;3,63
gba_locus_10107_iso_4_len_1600_ver_2;not hit found;4,41;5,29;5,12;3,83;4,76;5,31;5,19;4,92;4,84
gba_locus_10108_iso_2_len_1704_ver_2;PF01137.14;5,06;5,17;5,06;4,95;4,85;4,86;4,98;4,86;5,16
gba_locus_10109_iso_1_len_3516_ver_2;PF00999.14;1,55;0,13;0,66;0,10;0,43;2,31;1,43;2,27;2,23
gba_locus_1010_iso_9_len_1054_ver_2;PF00013.22;7,19;8,13;7,36;7,17;7,58;7,03;7,16;8,12;8,48
gba_locus_10110_iso_1_len_2352_ver_2;not hit found;4,23;5,13;4,62;3,36;3,41;4,11;3,80;4,53;2,86
gba_locus_10111_iso_1_len_2013_ver_2;PF07714.10;2,09;0,35;1,91;-0,47;0,67;1,51;2,94;2,96;2,14
gba_locus_10112_iso_1_len_3444_ver_2;PF00628.22;2,79;3,18;3,15;3,04;2,91;2,61;2,72;3,32;5,06
gba_locus_10113_iso_1_len_304_ver_2;not hit found;2,99;4,44;4,28;5,27;5,22;3,87;0,86;3,07;1,53
gba_locus_10114_iso_1_len_3629_ver_2;PF00521.13;3,76;3,72;3,27;2,82;3,18;4,24;3,98;3,52;4,36
gba_locus_10116_iso_5_len_1741_ver_2;PF00201.11;4,64;1,22;2,26;4,89;2,74;4,68;5,08;2,16;0,78
gba_locus_10117_iso_1_len_5695_ver_2;PF00628.22;1,38;1,01;2,00;1,23;2,31;1,44;1,73;3,03;1,94
gba_locus_10118_iso_1_len_1413_ver_2;PF05705.7;1,82;1,40;2,18;0,99;1,60;2,18;1,92;1,46;2,25
gba_locus_10119_iso_1_len_1383_ver_2;not hit found;2,92;3,28;3,04;2,84;2,18;2,52;1,75;3,32;3,02
gba_locus_1011_iso_1_len_4856_ver_2;not hit found;3,31;3,64;3,45;1,05;1,52;6,62;6,16;2,02;0,55
gba_locus_10120_iso_3_len_1001_ver_2;PF02298.10;5,59;2,85;2,60;3,21;2,87;4,53;4,35;5,23;6,81
gba_locus_10121_iso_1_len_463_ver_2;PF01535.13;0,00;0,71;0,00;0,00;1,13;2,07;1,42;1,14;0,54
gba_locus_10122_iso_8_len_3921_ver_2;PF03372.16;2,67;2,55;2,78;-0,24;1,73;3,57;3,71;3,67;0,00
gba_locus_10123_iso_1_len_805_ver_2;PF01984.13;6,09;5,74;6,49;5,34;5,49;6,07;6,11;5,53;4,73
gba_locus_10124_iso_9_len_2734_ver_2;not hit found;5,11;5,64;4,88;4,68;4,97;4,11;3,56;4,38;4,92
gba_locus_10125_iso_1_len_2040_ver_2;PF01266.17;1,99;2,86;1,96;2,34;2,24;0,37;0,55;2,02;4,45
gba_locus_10126_iso_4_len_1453_ver_2;not hit found;0,47;2,03;1,82;1,33;1,03;1,85;1,52;1,59;2,70
gba_locus_10127_iso_3_len_3833_ver_2;PF00004.22;3,09;3,92;3,37;3,45;3,37;2,99;2,91;3,35;4,85
gba_locus_10128_iso_6_len_1414_ver_2;not hit found;6,11;5,63;4,65;4,41;4,58;6,38;5,54;4,03;8,26
gba_locus_10129_iso_2_len_2723_ver_2;PF05212.5;4,18;4,59;4,61;3,69;4,08;4,64;4,18;4,39;3,54
gba_locus_1012_iso_6_len_1302_ver_2;not hit found;5,57;5,65;6,53;3,35;4,21;4,34;3,34;3,24;-1,02
gba_locus_10130_iso_2_len_1870_ver_2;PF01370.14;6,43;4,84;5,96;4,51;5,53;4,96;5,62;6,28;3,62
gba_locus_10131_iso_1_len_1783_ver_2;not hit found;3,96;5,07;4,86;3,78;4,57;2,71;3,15;3,47;0,68
gba_locus_10132_iso_1_len_3032_ver_2;PF10033.2;3,17;4,88;4,52;3,34;4,20;3,91;4,23;4,86;3,52
gba_locus_10134_iso_1_len_1361_ver_2;PF01170.11;3,71;3,34;3,54;2,98;3,06;2,99;2,99;2,66;2,42
gba_locus_10135_iso_1_len_1302_ver_2;not hit found;3,65;3,81;3,57;3,61;3,33;3,21;3,13;3,84;3,35
gba_locus_10136_iso_1_len_2225_ver_2;PF00383.15;2,58;2,60;2,59;1,72;2,03;3,80;3,90;2,73;2,16
gba_locus_10137_iso_7_len_735_ver_2;PF00234.15;7,30;-0,26;5,91;7,28;5,29;-0,22;5,29;4,39;3,52
gba_locus_10138_iso_1_len_288_ver_2;not hit found;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
gba_locus_10139_iso_1_len_709_ver_2;not hit found;3,25;2,61;2,38;0,08;1,40;5,92;5,80;2,15;0,56
gba_locus_1013_iso_3_len_6791_ver_2;not hit found;4,24;4,62;4,38;3,82;4,89;4,15;3,48;4,79;5,69
gba_locus_10140_iso_1_len_2154_ver_2;PF05764.6;3,07;3,75;3,21;2,62;2,84;2,84;3,09;2,88;3,48
gba_locus_10141_iso_1_len_1700_ver_2;PF05673.6;2,79;1,84;1,95;1,14;1,59;3,23;3,57;2,21;3,80
gba_locus_10142_iso_5_len_1542_ver_2;not hit found;4,42;5,46;5,10;4,41;4,51;4,41;4,74;4,00;6,32
gba_locus_10144_iso_2_len_1079_ver_2;PF01419.10;4,51;5,67;5,84;4,33;4,88;4,45;4,46;1,79;0,10
gba_locus_10145_iso_2_len_1197_ver_2;PF08766.4;4,70;5,21;4,77;4,23;4,38;4,45;4,71;4,23;6,13
gba_locus_10146_iso_2_len_2438_ver_2;PF03552.7;3,95;4,32;3,63;3,09;4,34;2,60;1,12;1,99;3,07
gba_locus_10147_iso_1_len_425_ver_2;not hit found;1,33;1,07;0,00;0,00;0,00;2,11;0,56;0,77;1,94
gba_locus_10148_iso_1_len_2703_ver_2;PF00995.16;4,70;4,52;4,59;4,47;4,47;4,74;4,35;5,27;3,26
gba_locus_1014_iso_1_len_323_ver_2;PF00112.16;9,34;10,13;9,57;9,16;9,17;9,94;9,79;8,50;6,31
gba_locus_10150_iso_1_len_1338_ver_2;PF04117.5;3,25;2,08;2,80;1,82;2,57;3,07;3,20;3,31;2,02
gba_locus_10151_iso_1_len_1429_ver_2;PF03479.8;3,19;1,29;2,77;1,36;2,05;1,67;1,38;2,49;0,22
gba_locus_10152_iso_1_len_3097_ver_2;PF00225.16;0,51;0,35;0,51;-0,94;-0,10;1,96;1,72;0,46;2,59
gba_locus_10153_iso_1_len_1868_ver_2;PF03908.6;5,39;4,95;5,38;4,25;5,20;4,54;4,72;5,19;4,96
gba_locus_10154_iso_1_len_1312_ver_2;PF11623.1;4,62;3,87;3,44;2,65;2,36;5,83;5,58;3,07;3,64
gba_locus_10155_iso_1_len_271_ver_2;not hit found;7,23;7,20;7,10;6,63;7,53;6,95;7,42;7,94;5,51
gba_locus_10156_iso_1_len_1385_ver_2;PF00515.21;4,17;2,79;3,24;2,07;2,40;5,12;5,56;2,71;2,48
gba_locus_10157_iso_1_len_1049_ver_2;PF08207.5;3,16;3,14;3,17;2,71;2,18;3,14;3,12;2,52;3,13
gba_locus_10158_iso_5_len_4326_ver_2;PF03372.16;1,68;2,77;2,23;1,89;2,29;2,45;2,37;2,61;3,02
gba_locus_10159_iso_1_len_2243_ver_2;PF00405.10;3,78;1,96;4,72;1,53;2,68;3,27;3,44;2,94;-0,62
gba_locus_1015_iso_1_len_661_ver_2;not hit found;6,74;6,21;7,09;6,35;6,97;5,83;6,23;6,67;6,76
gba_locus_10160_iso_1_len_1665_ver_2;PF00156.20;4,75;5,76;5,55;4,96;5,17;4,93;5,09;4,55;4,88
gba_locus_10161_iso_1_len_3593_ver_2;PF00400.25;3,26;4,15;3,64;2,86;3,50;3,21;3,03;2,98;4,39
gba_locus_10162_iso_8_len_3403_ver_2;PF07800.5;4,67;5,20;4,83;4,51;4,74;4,63;4,15;4,20;4,86
gba_locus_10163_iso_5_len_3044_ver_2;PF00928.14;4,51;4,45;4,70;3,56;4,42;3,89;4,18;4,94;4,33
gba_locus_10164_iso_1_len_3169_ver_2;PF00534.13;2,39;1,65;2,00;1,55;2,13;2,50;2,85;3,20;1,84
gba_locus_10165_iso_1_len_391_ver_2;not hit found;0,00;0,00;0,00;0,00;0,00;0,00;0,95;0,00;0,00
gba_locus_10166_iso_3_len_3745_ver_2;PF00069.18;4,69;4,71;4,05;5,16;4,18;4,87;4,31;4,48;3,60
gba_locus_10167_iso_2_len_3186_ver_2;PF04113.7;3,76;2,94;3,39;2,82;3,52;2,99;3,33;4,18;3,20
gba_locus_10168_iso_2_len_2472_ver_2;PF00010.19;3,05;2,93;3,52;1,51;3,35;3,91;3,91;4,36;3,05
gba_locus_10169_iso_3_len_1320_ver_2;PF02519.7;6,31;5,59;6,17;8,78;7,57;6,27;6,09;5,97;4,80
gba_locus_1016_iso_1_len_2230_ver_2;not hit found;3,06;4,17;4,28;3,81;4,11;2,28;2,64;3,94;2,09
gba_locus_10170_iso_3_len_3700_ver_2;PF02985.15;2,94;2,71;3,14;1,93;3,14;1,76;1,74;3,33;2,12
gba_locus_10171_iso_1_len_1756_ver_2;PF04577.7;4,06;1,03;5,61;1,24;4,14;3,47;3,84;0,40;0,00
gba_locus_10172_iso_1_len_2522_ver_2;not hit found;2,33;1,91;1,65;0,52;0,74;4,48;4,12;1,85;2,64
gba_locus_10173_iso_4_len_2579_ver_2;not hit found;3,20;2,38;3,32;3,02;2,87;3,10;2,62;2,25;2,32
gba_locus_10174_iso_1_len_600_ver_2;PF01535.13;0,06;0,45;0,70;0,00;0,00;2,24;2,61;1,38;1,14
gba_locus_10175_iso_1_len_1383_ver_2;PF01174.12;4,41;4,62;3,95;3,50;3,62;5,26;5,21;4,50;5,35
gba_locus_10176_iso_1_len_1395_ver_2;not hit found;1,38;1,08;1,43;0,54;1,00;2,54;2,29;1,74;3,27
gba_locus_10177_iso_4_len_880_ver_2;not hit found;6,44;6,38;7,20;6,33;6,40;6,66;6,99;6,67;6,72
gba_locus_10178_iso_1_len_3329_ver_2;PF12457.1;2,74;3,77;3,82;2,84;3,69;3,04;3,21;3,80;3,85
gba_locus_10179_iso_1_len_1522_ver_2;PF00400.25;4,86;4,08;4,79;3,67;4,50;4,82;4,89;4,75;3,36
gba_locus_1017_iso_3_len_4093_ver_2;PF00004.22;3,88;3,98;3,95;3,04;3,95;4,30;4,84;4,31;4,11
gba_locus_10180_iso_1_len_2578_ver_2;not hit found;3,01;3,38;3,40;3,01;3,03;2,69;2,43;2,95;3,63
gba_locus_10181_iso_2_len_1515_ver_2;PF04056.7;3,95;3,81;3,93;3,28;3,67;3,46;4,02;3,88;4,37
gba_locus_10182_iso_1_len_841_ver_2;not hit found;1,25;0,22;1,68;-0,18;1,28;0,34;1,32;1,05;1,48
gba_locus_10183_iso_1_len_1145_ver_2;PF12352.1;4,23;3,69;4,18;3,48;3,32;3,49;2,98;2,98;4,52
gba_locus_10184_iso_4_len_1260_ver_2;not hit found;5,96;6,41;5,38;5,86;5,15;5,98;6,21;4,85;5,49
gba_locus_10185_iso_1_len_2604_ver_2;PF00226.24;4,19;4,57;4,30;3,83;4,39;3,33;3,68;4,90;3,69
gba_locus_10186_iso_2_len_1585_ver_2;PF07933.7;4,35;4,50;4,75;4,20;4,06;3,60;3,43;4,36;3,37
gba_locus_10187_iso_6_len_1287_ver_2;PF01370.14;5,51;1,73;2,95;6,21;5,82;5,11;7,01;8,80;2,48
gba_locus_10188_iso_2_len_1705_ver_2;not hit found;2,86;3,25;2,92;2,70;2,92;2,54;2,78;3,03;4,94
gba_locus_10189_iso_1_len_1660_ver_2;PF00282.12;7,25;7,30;7,18;6,63;6,28;5,09;5,20;5,77;3,70
gba_locus_1018_iso_3_len_1173_ver_2;PF04758.7;6,66;6,24;6,90;5,85;6,52;5,80;6,07;5,85;5,13
gba_locus_10190_iso_3_len_1813_ver_2;PF00201.11;5,10;5,37;6,05;5,80;5,98;5,44;6,86;4,39;5,56
gba_locus_10191_iso_1_len_1836_ver_2;PF03222.6;2,30;1,31;0,61;-0,95;-0,70;4,17;3,95;0,41;0,76
gba_locus_10192_iso_1_len_1242_ver_2;not hit found;0,91;-0,12;1,97;0,24;1,66;0,48;1,39;1,81;-0,19
gba_locus_10193_iso_1_len_2725_ver_2;PF11204.1;2,92;3,03;3,01;1,89;2,56;2,19;2,27;3,22;3,79
gba_locus_10194_iso_1_len_3592_ver_2;PF01909.16;1,78;2,73;2,80;2,30;2,84;2,58;2,52;1,98;2,91
gba_locus_10195_iso_3_len_2317_ver_2;PF03453.10;3,89;4,50;4,26;3,52;4,08;4,34;4,32;3,70;4,05
gba_locus_10196_iso_1_len_2074_ver_2;PF07859.6;2,99;3,09;2,33;2,69;2,17;0,83;-0,02;2,62;4,73
gba_locus_10198_iso_1_len_858_ver_2;PF01535.13;0,61;1,64;1,47;0,69;1,49;1,70;2,13;1,66;2,72
